clip_id,caption,part_id
Charades_01.mp4,"a close up of a person sleeping on a bed, then standing up and folding its blanket, indian man",1
Charades_02.mp4,"an american man walking to the fridge and opening it, taking a container out, closing the fridge, and throwing the contents of the container into the dustbin, places the container on the counter top and walking away",1
Charades_03.mp4,"a close up of a white female sitting on a couch, with a laption on her knees, typing away on the laptop, closing the laptop, standing up, and walks away",1
Charades_04.mp4,"a close up of a person sweeping the floor",1
Charades_05.mp4,"a person opening an oven and pulls out a pillow, inspecting it, then putting it on the counter top",1
Charades_06.mp4,"an american man holding laundry, walking to the table, places the laundry on the table, and folding clothes, takes a jacket and wears the jacket",1
Charades_07.mp4,"a woman drinking a glass of water, walking to the table, places the glass, then puts things into a plastic bag that is on the table",1
Charades_08.mp4,"a man sitting on the chair and typing away on his mac laptop",1
Charades_09.mp4,"a man taking a shoe from a showbox, takes it with him and walks down the stairs",1
Charades_10.mp4,"a man sitting down on a sofa, opening a container on the ground, takes out a blanket and closes the container",1
